TRACTCE10,GEOID10,CSA2010
130400,24510130400,Penn North/Reservoir Hill
160600,24510160600,Greater Rosemont
271600,24510271600,Southern Park Heights
271700,24510271700,Pimlico/Arlington/Hilltop
151300,24510151300,Southern Park Heights
210200,24510210200,Washington Village/Pigtown
271503,24510271503,Greater Roland Park/Poplar Hill
60400,24510060400,Oldtown/Middle East
250204,24510250204,Cherry Hill
70400,24510070400,Oldtown/Middle East
230200,24510230200,Inner Harbor/Federal Hill
240100,24510240100,South Baltimore
20100,24510020100,Fells Point
260604,24510260604,Southeastern
120202,24510120202,Greater Charles Village/Barclay
272007,24510272007,Glen-Fallstaff
272005,24510272005,Cross-Country/Cheswolde
230300,24510230300,South Baltimore
260302,24510260302,Belair-Edison
80200,24510080200,Clifton-Berea
80301,24510080301,Clifton-Berea
10500,24510010500,Fells Point
70100,24510070100,Madison/East End
250203,24510250203,Cherry Hill
70300,24510070300,Madison/East End
80600,24510080600,Greenmount East
271900,24510271900,Glen-Fallstaff
80400,24510080400,Clifton-Berea
120201,24510120201,Greater Charles Village/Barclay
272004,24510272004,Cross-Country/Cheswolde
272006,24510272006,Glen-Fallstaff
280500,24510280500,Oldtown/Middle East
260403,24510260403,Claremont/Armistead
150600,24510150600,Greater Rosemont
80800,24510080800,Oldtown/Middle East
160500,24510160500,Greater Rosemont
90100,24510090100,Greater Govans
260402,24510260402,Claremont/Armistead
260700,24510260700,Orangeville/East Highlandtown
10000,,Baltimore City
